127.0.0.1 - - [08/Jan/2018:16:28:12 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:28:12 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:28:13 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:28:13 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:28:13 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:28:13 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1876
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:28:23 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:28:32 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:28:32 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:28:32 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:28:32 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:28:32 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1876
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:28:32 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:03 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:03 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:03 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:03 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:03 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1876
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:03 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:42 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:42 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:42 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:42 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:42 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:42 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:43 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:45 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:48 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:48 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:48 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:48 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:48 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:48 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:48 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:48 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:48 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:48 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:48 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:48 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:48 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:48 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:48 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:48 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:29:48 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1152
